"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"COALINDIA","EQ","16-Sep-2022","234.25","233.85","234.00","229.55","231.10","231.05","231.08","8,750,965","2,022,202,648.15","58,910","4,690,007","53.59"
"COALINDIA","EQ","19-Sep-2022","231.05","230.95","232.65","228.70","229.80","229.90","230.50","4,011,597","924,678,321.05","49,634","1,778,375","44.33"
"COALINDIA","EQ","20-Sep-2022","229.90","231.00","233.80","228.70","229.35","229.85","230.76","6,890,375","1,590,024,437.25","127,206","3,335,619","48.41"
"COALINDIA","EQ","21-Sep-2022","229.85","229.85","232.70","227.15","231.25","231.55","230.88","5,673,523","1,309,907,374.30","68,288","2,162,124","38.11"
"COALINDIA","EQ","22-Sep-2022","231.55","229.95","231.30","225.50","227.60","227.05","228.05","7,677,219","1,750,780,241.20","65,874","3,392,717","44.19"
"COALINDIA","EQ","23-Sep-2022","227.05","225.00","226.95","221.00","223.20","222.85","223.89","5,495,315","1,230,349,262.65","60,228","1,991,649","36.24"
"COALINDIA","EQ","26-Sep-2022","222.85","221.00","222.10","212.50","215.60","215.50","216.73","7,832,594","1,697,534,611.40","75,785","2,964,456","37.85"
"COALINDIA","EQ","27-Sep-2022","215.50","216.00","219.70","212.75","214.30","213.90","214.68","5,795,048","1,244,052,223.65","64,264","2,148,891","37.08"
"COALINDIA","EQ","28-Sep-2022","213.90","211.70","213.40","208.90","209.70","210.80","211.21","6,134,706","1,295,711,963.70","64,508","2,553,128","41.62"
"COALINDIA","EQ","29-Sep-2022","210.80","211.80","215.15","210.65","214.00","213.90","213.39","8,962,595","1,912,539,814.35","68,876","4,118,486","45.95"
"COALINDIA","EQ","30-Sep-2022","213.90","213.00","216.00","207.85","212.85","212.25","211.67","12,875,386","2,725,361,158.15","64,100","6,617,078","51.39"
"COALINDIA","BL","03-Oct-2022","208.45","212.25","212.25","212.25","212.25","212.25","212.25","1,954,454","414,832,861.50","1","-","-"
"COALINDIA","EQ","03-Oct-2022","212.25","213.00","218.00","212.30","214.80","214.95","215.66","11,397,506","2,458,006,419.40","74,185","6,147,103","53.93"
"COALINDIA","EQ","04-Oct-2022","214.95","218.30","224.00","218.10","223.70","223.25","221.45","10,862,095","2,405,462,584.15","69,025","4,591,754","42.27"
"COALINDIA","EQ","06-Oct-2022","223.25","225.00","234.10","224.65","233.80","233.50","230.93","12,795,784","2,954,991,245.10","102,162","4,876,996","38.11"
"COALINDIA","EQ","07-Oct-2022","233.50","233.00","233.55","227.80","231.20","229.70","230.11","14,641,624","3,369,126,219.65","99,846","6,999,982","47.81"
"COALINDIA","EQ","10-Oct-2022","229.70","227.00","232.00","226.60","229.25","229.85","230.33","10,850,668","2,499,279,677.95","73,493","5,293,999","48.79"
"COALINDIA","EQ","11-Oct-2022","229.85","230.95","230.95","224.00","224.50","225.45","227.86","19,154,740","4,364,688,789.70","85,289","12,997,191","67.85"
"COALINDIA","EQ","12-Oct-2022","225.45","225.55","233.00","225.55","232.05","232.10","230.80","9,256,951","2,136,489,595.20","79,384","2,144,961","23.17"
"COALINDIA","EQ","13-Oct-2022","232.10","232.20","235.60","231.10","234.05","234.55","233.89","7,231,841","1,691,484,427.05","64,575","2,087,188","28.86"
"COALINDIA","EQ","14-Oct-2022","234.55","238.95","238.95","235.35","236.35","236.35","236.65","6,241,886","1,477,172,707.85","57,620","2,849,161","45.65"
"COALINDIA","BL","17-Oct-2022","212.25","236.35","236.35","236.35","236.35","236.35","236.35","1,997,544","472,119,524.40","1","-","-"
"COALINDIA","EQ","17-Oct-2022","236.35","236.35","238.55","232.90","237.85","238.00","236.75","5,623,812","1,331,442,970.00","60,261","2,221,957","39.51"
"COALINDIA","EQ","18-Oct-2022","238.00","238.50","242.15","236.85","241.85","241.70","239.91","6,674,374","1,601,265,140.40","63,297","2,881,339","43.17"
"COALINDIA","EQ","19-Oct-2022","241.70","242.00","243.00","237.00","238.15","238.20","240.18","13,886,387","3,335,229,765.90","81,696","9,384,476","67.58"
"COALINDIA","EQ","20-Oct-2022","238.20","237.00","242.50","233.60","240.50","241.00","238.47","10,755,972","2,564,951,786.25","68,509","5,499,515","51.13"
"COALINDIA","EQ","21-Oct-2022","241.00","241.00","241.35","238.05","238.20","238.70","239.46","3,285,505","786,732,996.75","29,103","1,157,110","35.22"
"COALINDIA","EQ","24-Oct-2022","238.70","240.90","241.70","240.00","240.25","240.50","240.72","730,136","175,757,988.20","15,285","407,686","55.84"
"COALINDIA","EQ","25-Oct-2022","240.50","240.50","240.95","237.95","239.90","239.95","239.99","6,976,548","1,674,290,919.80","35,107","4,869,003","69.79"
"COALINDIA","EQ","27-Oct-2022","239.95","240.95","241.60","239.00","241.50","240.90","240.25","6,422,639","1,543,027,325.00","46,548","3,752,099","58.42"
"COALINDIA","EQ","28-Oct-2022","240.90","242.00","247.80","240.55","244.35","244.40","245.08","14,076,967","3,449,958,333.20","84,302","6,114,935","43.44"
"COALINDIA","EQ","31-Oct-2022","244.40","246.00","247.50","243.55","246.00","245.95","245.75","8,365,329","2,055,790,883.40","52,810","5,099,695","60.96"
"COALINDIA","EQ","01-Nov-2022","245.95","247.00","247.00","243.25","245.50","245.65","245.23","8,813,106","2,161,276,821.00","59,500","5,085,177","57.70"
"COALINDIA","EQ","02-Nov-2022","245.65","245.65","249.60","242.15","245.85","245.80","246.45","14,974,441","3,690,445,243.20","94,637","8,027,496","53.61"
"COALINDIA","BL","03-Nov-2022","236.35","245.80","245.80","245.80","245.80","245.80","245.80","2,362,665","580,743,057.00","1","-","-"
"COALINDIA","EQ","03-Nov-2022","245.80","244.00","247.60","241.00","246.40","246.20","244.86","6,754,654","1,653,911,266.30","43,877","3,201,092","47.39"
"COALINDIA","EQ","04-Nov-2022","246.20","246.70","248.70","245.50","247.20","246.05","246.75","5,511,411","1,359,941,583.35","48,286","2,692,338","48.85"
"COALINDIA","EQ","07-Nov-2022","246.05","247.30","251.35","246.75","249.50","249.55","250.01","10,513,106","2,628,420,053.15","73,749","4,787,300","45.54"
"COALINDIA","EQ","09-Nov-2022","249.55","255.50","263.40","254.55","256.85","255.80","258.24","40,391,668","10,430,726,914.70","221,436","14,046,302","34.78"
