"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"COLPAL","EQ","16-Sep-2022","1,631.35","1,628.80","1,634.00","1,555.30","1,575.00","1,563.25","1,583.59","707,222","1,119,950,744.50","40,365","423,680","59.91"
"COLPAL","EQ","19-Sep-2022","1,563.25","1,568.10","1,586.30","1,557.50","1,581.80","1,579.90","1,571.07","173,971","273,321,374.45","11,258","79,499","45.70"
"COLPAL","EQ","20-Sep-2022","1,579.90","1,587.80","1,604.85","1,580.05","1,593.75","1,593.95","1,593.18","147,198","234,512,669.00","10,565","69,907","47.49"
"COLPAL","EQ","21-Sep-2022","1,593.95","1,593.95","1,624.40","1,577.00","1,599.65","1,600.25","1,608.98","260,088","418,476,381.55","18,361","95,572","36.75"
"COLPAL","EQ","22-Sep-2022","1,600.25","1,594.50","1,611.00","1,581.40","1,602.80","1,595.15","1,596.27","165,969","264,931,699.80","12,534","79,674","48.01"
"COLPAL","EQ","23-Sep-2022","1,595.15","1,599.00","1,599.00","1,564.30","1,572.00","1,578.10","1,574.50","212,676","334,857,332.70","17,151","93,417","43.92"
"COLPAL","EQ","26-Sep-2022","1,578.10","1,553.00","1,589.10","1,553.00","1,564.00","1,563.40","1,571.54","254,530","400,004,409.65","20,493","112,909","44.36"
"COLPAL","EQ","27-Sep-2022","1,563.40","1,565.00","1,584.40","1,564.00","1,578.30","1,575.10","1,573.18","133,534","210,073,502.95","12,228","72,761","54.49"
"COLPAL","EQ","28-Sep-2022","1,575.10","1,570.00","1,597.80","1,563.90","1,583.10","1,585.15","1,585.61","169,232","268,335,543.40","15,377","81,903","48.40"
"COLPAL","EQ","29-Sep-2022","1,585.15","1,593.10","1,610.95","1,577.05","1,609.00","1,604.90","1,596.29","251,687","401,764,553.85","20,205","140,272","55.73"
"COLPAL","EQ","30-Sep-2022","1,604.90","1,601.00","1,636.00","1,593.65","1,627.20","1,629.40","1,619.42","337,416","546,417,453.30","38,272","195,631","57.98"
"COLPAL","BL","03-Oct-2022","1,614.10","1,629.40","1,629.40","1,629.40","1,629.40","1,629.40","1,629.40","159,120","259,270,128.00","1","-","-"
"COLPAL","EQ","03-Oct-2022","1,629.40","1,626.55","1,639.00","1,576.30","1,576.75","1,579.45","1,595.53","148,768","237,363,153.20","18,319","75,461","50.72"
"COLPAL","EQ","04-Oct-2022","1,579.45","1,597.00","1,625.00","1,583.80","1,598.90","1,600.60","1,605.68","268,268","430,753,748.35","27,234","158,834","59.21"
"COLPAL","EQ","06-Oct-2022","1,600.60","1,608.65","1,617.45","1,568.05","1,571.00","1,571.35","1,578.69","276,218","436,063,727.30","22,344","156,451","56.64"
"COLPAL","EQ","07-Oct-2022","1,571.35","1,571.50","1,594.20","1,557.00","1,581.95","1,581.20","1,577.84","346,498","546,717,432.30","21,052","187,944","54.24"
"COLPAL","EQ","10-Oct-2022","1,581.20","1,557.00","1,587.00","1,557.00","1,583.90","1,582.95","1,575.71","152,612","240,471,748.45","14,234","81,429","53.36"
"COLPAL","EQ","11-Oct-2022","1,582.95","1,583.00","1,585.00","1,532.00","1,534.60","1,537.20","1,553.02","244,141","379,154,847.60","17,087","151,442","62.03"
"COLPAL","EQ","12-Oct-2022","1,537.20","1,537.20","1,578.90","1,532.25","1,571.40","1,573.75","1,563.25","147,412","230,442,142.30","10,726","49,726","33.73"
"COLPAL","EQ","13-Oct-2022","1,573.75","1,571.40","1,577.15","1,547.15","1,554.70","1,553.95","1,557.64","85,646","133,405,929.70","8,182","29,649","34.62"
"COLPAL","EQ","14-Oct-2022","1,553.95","1,568.00","1,568.00","1,549.00","1,555.00","1,552.75","1,555.28","124,400","193,477,322.75","10,404","65,914","52.99"
"COLPAL","EQ","17-Oct-2022","1,552.75","1,552.75","1,589.20","1,547.55","1,568.10","1,570.30","1,570.40","128,056","201,099,691.95","10,074","42,862","33.47"
