"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"IDFC","EQ","16-Sep-2022","69.75","69.60","70.55","65.60","66.35","66.10","67.65","9,900,614","669,728,251.85","23,294","3,253,945","32.87"
"IDFC","EQ","19-Sep-2022","66.10","66.70","68.15","65.90","67.45","67.50","67.45","7,563,145","510,149,287.15","12,808","3,145,441","41.59"
"IDFC","EQ","20-Sep-2022","67.50","68.10","69.10","67.85","67.95","68.10","68.42","7,936,822","543,038,416.25","11,247","3,888,287","48.99"
"IDFC","EQ","21-Sep-2022","68.10","68.00","68.30","66.60","67.30","67.60","67.50","5,609,735","378,654,554.95","9,797","2,539,233","45.26"
"IDFC","EQ","22-Sep-2022","67.60","67.00","68.75","66.65","68.00","67.90","67.75","6,378,503","432,166,652.60","16,110","2,396,490","37.57"
"IDFC","EQ","23-Sep-2022","67.90","67.20","67.90","65.30","65.70","65.90","66.42","6,136,761","407,597,645.90","10,900","2,055,701","33.50"
"IDFC","EQ","26-Sep-2022","65.90","65.25","65.35","62.55","62.60","62.85","63.47","10,154,812","644,548,490.05","16,763","4,252,244","41.87"
"IDFC","EQ","27-Sep-2022","62.85","63.75","66.20","63.20","65.10","64.95","64.66","8,152,501","527,130,996.10","17,847","2,131,370","26.14"
"IDFC","EQ","28-Sep-2022","64.95","64.25","65.75","63.45","64.35","64.55","64.81","5,870,106","380,464,271.10","14,388","1,711,586","29.16"
"IDFC","EQ","29-Sep-2022","64.55","65.15","65.85","64.15","64.65","64.40","64.68","7,084,401","458,200,312.20","10,620","3,185,024","44.96"
"IDFC","EQ","30-Sep-2022","64.40","64.30","67.00","63.85","66.65","66.35","65.85","8,733,321","575,091,951.30","12,173","4,277,962","48.98"
"IDFC","BL","03-Oct-2022","62.50","66.35","66.35","66.35","66.35","66.35","66.35","2,164,334","143,603,560.90","1","-","-"
"IDFC","EQ","03-Oct-2022","66.35","66.20","67.45","64.80","65.80","65.65","66.25","8,541,267","565,869,371.50","15,575","4,111,343","48.14"
"IDFC","EQ","04-Oct-2022","65.65","67.40","71.20","66.80","69.95","69.85","69.75","19,705,612","1,374,485,068.95","34,817","7,305,475","37.07"
"IDFC","EQ","06-Oct-2022","69.85","70.15","72.15","70.10","71.10","71.40","71.31","11,493,971","819,682,578.35","25,370","3,400,161","29.58"
"IDFC","EQ","07-Oct-2022","71.40","71.10","71.55","69.40","70.85","70.70","70.24","6,755,668","474,492,661.60","16,002","2,027,209","30.01"
"IDFC","EQ","10-Oct-2022","70.70","69.45","74.25","69.00","72.80","72.55","72.33","13,492,820","975,951,276.15","33,553","3,902,159","28.92"
"IDFC","EQ","11-Oct-2022","72.55","72.90","74.10","71.85","71.90","72.70","73.18","17,890,431","1,309,294,667.25","30,671","7,807,707","43.64"
"IDFC","EQ","12-Oct-2022","72.70","72.65","76.60","72.45","76.55","76.35","75.45","30,427,628","2,295,908,532.80","68,692","8,285,565","27.23"
"IDFC","EQ","13-Oct-2022","76.35","76.95","76.95","73.80","74.40","74.60","75.12","12,370,942","929,258,362.00","27,909","2,980,918","24.10"
"IDFC","EQ","14-Oct-2022","74.60","76.10","77.55","75.30","76.00","76.35","76.38","13,528,760","1,033,262,851.15","36,522","4,202,597","31.06"
"IDFC","EQ","17-Oct-2022","76.35","76.20","78.25","75.60","77.20","77.50","77.23","13,351,636","1,031,170,543.50","34,683","3,856,836","28.89"
"IDFC","EQ","18-Oct-2022","77.50","78.00","78.90","76.90","77.60","78.00","78.01","10,717,157","836,050,632.60","72,513","3,486,687","32.53"
"IDFC","EQ","19-Oct-2022","78.00","78.30","78.65","77.35","77.75","77.75","78.00","6,046,937","471,635,263.60","103,390","1,584,045","26.20"
"IDFC","EQ","20-Oct-2022","77.75","77.55","78.05","75.85","76.80","77.10","76.84","8,247,195","633,724,484.55","28,775","3,068,377","37.21"
"IDFC","EQ","21-Oct-2022","77.10","77.15","78.90","77.00","78.15","78.15","77.93","10,490,532","817,520,112.40","73,612","3,841,078","36.61"
"IDFC","EQ","24-Oct-2022","78.15","80.00","80.00","78.90","79.55","79.60","79.56","4,031,210","320,732,951.70","41,557","1,885,747","46.78"
"IDFC","EQ","25-Oct-2022","79.60","79.50","79.50","75.90","76.00","76.15","77.57","7,997,094","620,304,796.65","28,674","2,679,012","33.50"
"IDFC","EQ","27-Oct-2022","76.15","76.85","77.85","76.20","77.65","77.65","77.19","5,961,634","460,151,616.10","28,149","1,958,977","32.86"
"IDFC","EQ","28-Oct-2022","77.65","77.65","77.65","76.00","76.10","76.25","76.41","3,939,732","301,024,176.75","28,146","948,439","24.07"
"IDFC","EQ","31-Oct-2022","76.25","76.25","77.80","76.00","77.40","77.45","76.99","4,908,006","377,881,174.65","30,087","1,405,789","28.64"
"IDFC","EQ","01-Nov-2022","77.45","77.55","77.95","76.15","76.50","76.35","76.91","3,640,551","279,997,234.50","17,435","1,128,842","31.01"
"IDFC","EQ","02-Nov-2022","76.35","76.40","77.00","75.30","75.40","75.75","76.09","3,949,198","300,507,487.35","18,390","1,444,130","36.57"
"IDFC","EQ","03-Nov-2022","75.75","75.30","78.65","75.25","78.15","78.10","77.68","7,673,840","596,114,173.25","40,751","2,119,666","27.62"
"IDFC","EQ","04-Nov-2022","78.10","78.15","79.20","77.35","78.80","78.85","78.29","6,237,576","488,354,908.65","23,698","1,861,517","29.84"
"IDFC","EQ","07-Nov-2022","78.85","79.30","81.75","79.05","81.00","81.15","80.82","19,430,049","1,570,302,564.10","108,385","8,876,492","45.68"
"IDFC","EQ","09-Nov-2022","81.15","82.00","82.45","80.20","80.30","80.45","81.58","8,230,887","671,469,828.40","36,158","2,932,186","35.62"
"IDFC","EQ","10-Nov-2022","80.45","80.70","81.40","78.10","78.90","78.85","79.39","6,788,501","538,936,619.70","31,777","2,044,710","30.12"
"IDFC","EQ","11-Nov-2022","78.85","79.55","81.50","78.75","79.05","79.15","80.27","17,080,978","1,371,144,148.75","42,802","8,408,883","49.23"
"IDFC","EQ","14-Nov-2022","79.15","79.85","80.00","77.85","79.55","79.70","78.83","7,335,019","578,186,963.85","21,850","2,222,566","30.30"
"IDFC","EQ","15-Nov-2022","79.70","80.00","80.40","79.15","80.20","80.20","79.89","3,935,535","314,416,219.90","46,507","1,290,904","32.80"
"IDFC","EQ","16-Nov-2022","80.20","80.50","80.65","78.05","78.50","78.45","79.40","6,597,195","523,816,919.40","19,954","2,082,174","31.56"
"IDFC","EQ","17-Nov-2022","78.45","78.40","78.45","76.80","77.40","77.65","77.59","5,381,000","417,522,420.00","25,507","930,739","17.30"
"IDFC","EQ","18-Nov-2022","77.65","77.60","78.00","76.30","77.80","77.75","77.29","3,700,750","286,038,752.05","15,007","758,313","20.49"
"IDFC","EQ","21-Nov-2022","77.75","77.75","78.20","77.10","77.40","77.40","77.58","3,223,866","250,100,035.10","21,032","827,840","25.68"
"IDFC","EQ","22-Nov-2022","77.40","77.40","79.50","77.30","79.40","78.95","78.29","4,247,492","332,550,453.00","20,269","980,927","23.09"
"IDFC","EQ","23-Nov-2022","78.95","79.50","80.20","79.10","79.20","79.55","79.70","6,318,816","503,638,732.85","26,845","1,902,170","30.10"
"IDFC","EQ","24-Nov-2022","79.55","79.55","81.25","77.95","78.65","78.40","79.39","7,378,376","585,778,214.00","31,001","1,121,460","15.20"
"IDFC","EQ","25-Nov-2022","78.40","78.50","81.65","78.45","80.20","80.20","80.34","8,151,253","654,860,959.70","46,630","2,115,140","25.95"
"IDFC","EQ","28-Nov-2022","80.20","80.20","83.75","80.10","82.30","82.30","82.44","13,082,818","1,078,496,813.75","51,598","3,754,558","28.70"
"IDFC","EQ","29-Nov-2022","82.30","82.70","82.70","80.60","80.70","80.80","81.41","4,692,668","382,013,768.50","16,969","1,306,581","27.84"
"IDFC","EQ","30-Nov-2022","80.80","81.95","83.00","81.20","82.10","81.95","81.90","8,457,028","692,602,741.35","29,925","2,197,175","25.98"
"IDFC","EQ","01-Dec-2022","81.95","82.35","83.60","81.85","83.15","82.95","82.71","7,111,816","588,208,440.65","35,748","2,746,411","38.62"
"IDFC","EQ","02-Dec-2022","82.95","82.95","84.25","82.40","83.65","83.80","83.49","6,081,702","507,737,658.50","21,554","2,070,600","34.05"
"IDFC","EQ","05-Dec-2022","83.80","83.80","86.30","83.70","85.00","85.15","85.21","9,488,092","808,458,069.70","41,621","2,648,815","27.92"
