"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"PNB","EQ","16-Sep-2022","40.45","40.40","40.60","38.90","39.70","39.65","39.76","59,732,960","2,374,859,533.75","71,747","14,547,861","24.35"
"PNB","EQ","19-Sep-2022","39.65","39.85","41.35","39.65","40.40","40.40","40.72","83,681,824","3,407,595,042.45","116,582","18,827,927","22.50"
"PNB","EQ","20-Sep-2022","40.40","40.80","41.65","40.15","40.60","40.65","40.84","85,095,486","3,475,526,601.30","93,788","18,399,168","21.62"
"PNB","EQ","21-Sep-2022","40.65","40.70","41.10","39.70","40.15","40.15","40.33","46,208,645","1,863,739,010.20","59,072","7,057,408","15.27"
"PNB","EQ","22-Sep-2022","40.15","40.00","41.20","39.85","40.55","40.50","40.57","76,924,094","3,121,091,690.45","87,705","13,498,507","17.55"
"PNB","EQ","23-Sep-2022","40.50","40.45","40.60","38.00","38.10","38.15","38.91","69,527,571","2,705,608,355.90","104,808","22,441,395","32.28"
"PNB","EQ","26-Sep-2022","38.15","37.85","37.85","35.80","36.05","36.00","36.49","65,861,997","2,403,320,349.25","85,900","15,611,169","23.70"
"PNB","EQ","27-Sep-2022","36.00","36.30","37.05","36.10","36.85","36.70","36.49","41,297,271","1,506,941,318.55","58,936","6,368,757","15.42"
"PNB","EQ","28-Sep-2022","36.70","36.30","36.30","34.55","34.75","34.85","35.53","85,338,288","3,031,979,018.30","90,356","19,858,919","23.27"
"PNB","EQ","29-Sep-2022","34.85","35.25","35.75","34.25","35.55","34.90","34.96","116,839,087","4,084,360,536.50","96,130","42,426,259","36.31"
"PNB","EQ","30-Sep-2022","34.90","35.60","36.80","35.00","36.60","36.55","36.06","90,405,745","3,260,333,043.20","109,795","14,201,380","15.71"
"PNB","EQ","03-Oct-2022","36.55","36.60","36.75","35.35","35.60","35.45","36.14","47,921,973","1,732,048,609.55","56,979","8,310,542","17.34"
"PNB","EQ","04-Oct-2022","35.45","36.35","36.65","36.15","36.45","36.45","36.38","38,320,151","1,394,213,095.05","43,583","7,516,402","19.61"
"PNB","EQ","06-Oct-2022","36.45","36.85","37.00","36.45","36.70","36.65","36.75","27,448,412","1,008,825,702.10","38,317","6,110,226","22.26"
"PNB","EQ","07-Oct-2022","36.65","36.50","36.90","36.10","36.85","36.65","36.39","28,687,877","1,043,827,129.50","35,648","4,988,471","17.39"
"PNB","EQ","10-Oct-2022","36.65","36.15","37.00","36.10","36.60","36.55","36.53","32,747,438","1,196,128,485.40","36,709","3,884,543","11.86"
"PNB","EQ","11-Oct-2022","36.55","36.75","36.80","35.60","35.70","35.70","36.12","35,436,582","1,280,037,605.65","38,339","8,433,816","23.80"
"PNB","EQ","12-Oct-2022","35.70","35.85","36.45","35.60","36.35","36.30","36.02","36,192,793","1,303,549,942.65","36,038","5,178,928","14.31"
"PNB","EQ","13-Oct-2022","36.30","36.40","36.45","35.45","35.85","35.90","35.87","30,733,961","1,102,389,374.50","30,952","4,259,578","13.86"
"PNB","EQ","14-Oct-2022","35.90","36.65","36.80","35.75","35.80","35.85","36.26","26,022,043","943,598,533.50","30,663","4,241,242","16.30"
"PNB","EQ","17-Oct-2022","35.85","35.85","37.25","35.50","37.10","36.90","36.52","42,448,068","1,550,174,761.60","49,403","12,192,859","28.72"
"PNB","EQ","18-Oct-2022","36.90","37.20","39.10","37.05","38.90","38.85","38.33","93,855,098","3,597,727,756.15","106,390","24,330,682","25.92"
"PNB","EQ","19-Oct-2022","38.85","39.00","40.10","38.65","39.40","39.35","39.49","104,078,804","4,109,736,482.85","103,799","17,375,861","16.69"
"PNB","EQ","20-Oct-2022","39.35","39.10","40.75","38.60","40.35","40.50","39.64","121,051,376","4,798,764,370.10","94,087","26,657,313","22.02"
"PNB","EQ","21-Oct-2022","40.50","40.50","41.80","40.40","40.80","40.75","41.11","113,842,537","4,680,387,596.60","114,015","24,859,348","21.84"
"PNB","EQ","24-Oct-2022","40.75","41.35","41.60","40.90","41.10","41.10","41.19","17,217,018","709,144,683.85","40,283","6,699,136","38.91"
"PNB","EQ","25-Oct-2022","41.10","41.20","44.00","40.50","43.15","43.30","42.70","169,573,666","7,240,054,338.00","183,909","54,972,841","32.42"
"PNB","EQ","27-Oct-2022","43.30","43.50","43.60","42.55","43.15","43.00","43.05","96,348,564","4,147,462,131.20","105,295","35,073,566","36.40"
"PNB","EQ","28-Oct-2022","43.00","43.30","44.80","42.70","43.20","43.10","43.43","118,353,597","5,139,816,291.50","123,732","26,202,832","22.14"
