"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"YESBANK","EQ","16-Sep-2022","17.15","17.15","17.25","16.65","16.80","16.75","16.89","127,305,239","2,150,176,199.00","83,773","56,420,600","44.32"
"YESBANK","EQ","19-Sep-2022","16.75","16.75","16.80","16.30","16.40","16.35","16.55","103,007,423","1,705,136,844.00","76,455","34,016,419","33.02"
"YESBANK","EQ","20-Sep-2022","16.35","16.45","16.85","16.35","16.45","16.40","16.57","87,573,547","1,450,861,101.15","63,809","26,353,165","30.09"
"YESBANK","EQ","21-Sep-2022","16.40","16.85","17.25","16.65","16.90","16.90","16.92","171,508,609","2,902,391,292.05","78,553","38,312,932","22.34"
"YESBANK","EQ","22-Sep-2022","16.90","16.85","17.15","16.60","16.75","16.75","16.82","99,539,210","1,674,593,863.55","58,743","27,945,743","28.08"
"YESBANK","EQ","23-Sep-2022","16.75","16.75","16.75","16.00","16.15","16.20","16.35","104,057,075","1,701,062,139.50","69,902","40,179,950","38.61"
"YESBANK","EQ","26-Sep-2022","16.20","16.00","16.00","15.35","15.45","15.50","15.58","98,094,429","1,527,854,679.00","87,956","35,753,409","36.45"
"YESBANK","EQ","27-Sep-2022","15.50","15.60","15.90","15.45","15.85","15.75","15.67","66,927,489","1,048,790,919.70","56,080","18,128,901","27.09"
"YESBANK","EQ","28-Sep-2022","15.75","15.60","15.75","15.40","15.45","15.45","15.54","67,412,435","1,047,491,520.40","52,722","24,856,117","36.87"
"YESBANK","EQ","29-Sep-2022","15.45","15.60","15.75","15.40","15.55","15.50","15.56","45,476,468","707,543,745.00","48,752","17,300,190","38.04"
"YESBANK","EQ","30-Sep-2022","15.50","15.55","15.85","15.40","15.70","15.65","15.63","86,879,185","1,357,529,773.65","52,054","26,716,287","30.75"
"YESBANK","BL","03-Oct-2022","16.65","15.65","15.65","15.65","15.65","15.65","15.65","76,306,765","1,194,200,872.25","1","-","-"
"YESBANK","EQ","03-Oct-2022","15.65","15.65","15.75","15.30","15.45","15.40","15.57","48,492,331","754,827,990.15","49,902","18,072,716","37.27"
"YESBANK","EQ","04-Oct-2022","15.40","15.65","16.30","15.60","16.20","16.20","15.95","112,076,362","1,787,446,480.75","62,265","33,222,056","29.64"
"YESBANK","EQ","06-Oct-2022","16.20","16.35","16.85","16.25","16.65","16.50","16.56","149,333,764","2,472,359,953.80","64,683","31,361,310","21.00"
"YESBANK","EQ","07-Oct-2022","16.50","16.75","16.75","16.35","16.60","16.55","16.49","59,605,751","982,787,915.90","47,574","22,851,813","38.34"
"YESBANK","EQ","10-Oct-2022","16.55","16.40","16.55","16.20","16.55","16.45","16.37","51,241,998","838,874,807.30","50,486","20,408,313","39.83"
"YESBANK","EQ","11-Oct-2022","16.45","16.50","16.60","16.05","16.15","16.15","16.30","48,398,744","789,000,361.45","44,736","18,232,039","37.67"
"YESBANK","EQ","12-Oct-2022","16.15","16.25","16.30","15.80","16.00","16.00","16.04","66,034,496","1,059,224,720.15","44,860","24,184,051","36.62"
"YESBANK","EQ","13-Oct-2022","16.00","15.95","16.00","15.60","15.80","15.80","15.78","38,929,298","614,207,566.30","44,072","15,147,188","38.91"
"YESBANK","EQ","14-Oct-2022","15.80","16.05","16.15","15.70","15.75","15.80","15.93","60,503,189","964,013,276.55","43,152","19,836,309","32.79"
"YESBANK","EQ","17-Oct-2022","15.80","15.70","16.05","15.65","15.75","15.75","15.86","83,954,100","1,331,403,793.20","46,493","16,895,417","20.12"
"YESBANK","EQ","18-Oct-2022","15.75","15.85","15.95","15.70","15.85","15.85","15.83","45,399,847","718,634,380.55","39,679","23,188,086","51.08"
"YESBANK","EQ","19-Oct-2022","15.85","15.85","16.05","15.80","15.90","15.90","15.95","44,781,578","714,354,796.35","40,887","16,094,205","35.94"
"YESBANK","EQ","20-Oct-2022","15.90","15.85","16.00","15.75","15.95","15.95","15.85","29,372,277","465,585,423.20","35,060","12,184,288","41.48"
"YESBANK","EQ","21-Oct-2022","15.95","16.15","16.35","15.90","16.15","16.05","16.14","62,881,273","1,014,651,347.50","46,705","27,519,489","43.76"
"YESBANK","EQ","24-Oct-2022","16.05","16.00","16.00","15.60","15.75","15.75","15.76","39,994,792","630,348,990.20","41,231","20,048,548","50.13"
"YESBANK","EQ","25-Oct-2022","15.75","15.70","15.85","15.55","15.60","15.60","15.64","56,903,508","889,980,849.85","51,275","31,204,005","54.84"
"YESBANK","EQ","27-Oct-2022","15.60","15.65","16.00","15.50","15.75","15.75","15.73","111,351,181","1,751,568,605.70","51,802","27,051,279","24.29"
"YESBANK","EQ","28-Oct-2022","15.75","15.80","15.80","15.60","15.65","15.65","15.68","27,728,826","434,687,595.65","38,786","13,563,031","48.91"
"YESBANK","EQ","31-Oct-2022","15.65","15.75","15.80","15.45","15.55","15.55","15.58","35,745,633","556,928,510.20","48,180","19,095,683","53.42"
"YESBANK","EQ","01-Nov-2022","15.55","15.60","15.85","15.25","15.50","15.50","15.59","111,914,590","1,745,113,078.65","55,743","29,049,517","25.96"
"YESBANK","EQ","02-Nov-2022","15.50","15.50","15.70","15.40","15.50","15.50","15.53","53,832,667","835,989,609.55","36,954","17,760,072","32.99"
"YESBANK","EQ","03-Nov-2022","15.50","15.50","16.30","15.50","16.15","16.10","15.90","140,562,676","2,234,395,035.05","53,293","47,967,235","34.13"
"YESBANK","EQ","04-Nov-2022","16.10","16.25","16.60","16.15","16.50","16.45","16.41","97,341,604","1,596,956,718.45","57,014","41,131,572","42.25"
"YESBANK","EQ","07-Nov-2022","16.45","16.55","16.75","16.40","16.60","16.55","16.55","77,873,357","1,288,653,325.65","53,168","33,694,242","43.27"
"YESBANK","EQ","09-Nov-2022","16.55","16.55","16.70","16.40","16.55","16.55","16.59","85,265,325","1,414,372,371.80","51,660","34,099,253","39.99"
"YESBANK","EQ","10-Nov-2022","16.55","16.50","16.65","16.25","16.50","16.50","16.44","71,558,329","1,176,411,661.70","41,056","26,819,505","37.48"
"YESBANK","EQ","11-Nov-2022","16.50","16.65","16.95","16.40","16.85","16.85","16.69","112,993,914","1,885,953,468.90","53,758","40,850,820","36.15"
"YESBANK","EQ","14-Nov-2022","16.85","16.85","17.40","16.75","17.10","17.10","17.13","195,844,509","3,355,386,943.70","81,354","50,808,797","25.94"
"YESBANK","EQ","15-Nov-2022","17.10","17.10","17.25","16.90","17.05","17.05","17.05","79,191,777","1,350,024,960.70","48,891","24,892,395","31.43"
"YESBANK","EQ","16-Nov-2022","17.05","17.05","17.35","16.90","17.00","17.05","17.14","106,522,657","1,826,285,780.40","48,836","30,795,502","28.91"
"YESBANK","EQ","17-Nov-2022","17.05","17.00","17.25","16.90","16.95","16.95","17.07","89,810,845","1,532,876,979.00","47,356","27,088,899","30.16"
"YESBANK","EQ","18-Nov-2022","16.95","16.95","17.05","16.70","16.85","16.85","16.86","47,492,598","800,902,274.70","42,995","19,290,529","40.62"
"YESBANK","EQ","21-Nov-2022","16.85","16.85","16.95","16.50","16.65","16.65","16.71","65,235,362","1,089,793,063.30","41,640","27,541,388","42.22"
"YESBANK","EQ","22-Nov-2022","16.65","16.65","17.40","16.65","17.00","17.05","17.15","124,194,131","2,130,025,944.60","55,294","37,560,226","30.24"
"YESBANK","EQ","23-Nov-2022","17.05","17.05","17.15","16.80","16.85","16.85","16.92","49,441,045","836,524,852.75","46,551","23,955,537","48.45"
"YESBANK","EQ","24-Nov-2022","16.85","16.90","17.00","16.85","16.90","16.95","16.93","41,585,061","703,852,502.20","40,552","17,629,615","42.39"
"YESBANK","EQ","25-Nov-2022","16.95","16.95","17.20","16.75","16.95","16.95","17.02","103,021,350","1,753,201,722.00","55,888","26,678,315","25.90"
