"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2022","EQ","1,199.00","1,209.00","1,186.30","1,192.90","1,192.80","1,190.90","1,197.53","1,734.40","1,015.00",241358,"289,032,706.95",14552
"25-Aug-2022","EQ","1,201.00","1,210.15","1,188.25","1,192.75","1,194.00","1,192.90","1,200.77","1,734.40","1,015.00",248669,"298,594,865.00",15466
"24-Aug-2022","EQ","1,204.60","1,212.75","1,182.80","1,201.60","1,194.00","1,192.75","1,198.61","1,734.40","1,015.00",334675,"401,143,345.40",18658
"23-Aug-2022","EQ","1,169.85","1,214.80","1,160.00","1,179.15","1,214.00","1,201.60","1,177.45","1,734.40","1,015.00",654819,"771,018,502.70",35451
"22-Aug-2022","EQ","1,205.00","1,205.10","1,175.10","1,215.10","1,177.00","1,179.15","1,182.61","1,734.40","1,015.00",505714,"598,061,616.80",36967
"19-Aug-2022","EQ","1,238.90","1,244.20","1,197.15","1,237.30","1,210.00","1,215.10","1,216.18","1,734.40","1,015.00",938122,"1,140,928,308.35",54732
"18-Aug-2022","EQ","1,225.35","1,240.00","1,213.00","1,225.30","1,237.00","1,237.30","1,228.35","1,734.40","1,015.00",562971,"691,523,897.05",30108
"17-Aug-2022","EQ","1,229.00","1,244.00","1,222.20","1,223.85","1,223.95","1,225.30","1,229.16","1,734.40","1,015.00",649580,"798,436,643.70",29479
"16-Aug-2022","EQ","1,216.20","1,234.15","1,207.00","1,204.15","1,224.45","1,223.85","1,221.79","1,734.40","1,015.00",847156,"1,035,044,575.80",40337
"12-Aug-2022","EQ","1,162.85","1,216.60","1,152.95","1,162.85","1,202.00","1,204.15","1,193.40","1,734.40","1,015.00",1550446,"1,850,296,393.10",59721
"11-Aug-2022","EQ","1,178.70","1,178.70","1,160.05","1,160.95","1,162.65","1,162.85","1,165.30","1,734.40","1,015.00",357461,"416,548,110.70",21541
"10-Aug-2022","EQ","1,171.70","1,185.85","1,153.50","1,168.95","1,162.00","1,160.95","1,165.17","1,734.40","1,015.00",366852,"427,445,262.70",23299
"08-Aug-2022","EQ","1,153.00","1,174.90","1,137.75","1,153.15","1,166.00","1,168.95","1,163.36","1,734.40","1,015.00",470873,"547,796,719.65",25046
"05-Aug-2022","EQ","1,143.00","1,159.55","1,125.25","1,137.20","1,156.00","1,153.15","1,140.85","1,734.40","1,015.00",516016,"588,699,210.70",25533
"04-Aug-2022","EQ","1,164.00","1,171.00","1,125.65","1,161.10","1,137.50","1,137.20","1,144.18","1,734.40","1,015.00",555742,"635,868,601.20",31562
"03-Aug-2022","EQ","1,183.40","1,186.20","1,153.05","1,179.45","1,161.90","1,161.10","1,163.18","1,734.40","1,015.00",452382,"526,201,048.95",25735
"02-Aug-2022","EQ","1,165.00","1,199.90","1,152.35","1,161.60","1,174.10","1,179.45","1,183.31","1,734.40","1,015.00",1140303,"1,349,328,884.05",48104
"01-Aug-2022","EQ","1,107.10","1,174.70","1,100.00","1,126.95","1,162.55","1,161.60","1,147.49","1,734.40","1,015.00",1413961,"1,622,503,003.25",59920
"29-Jul-2022","EQ","1,128.00","1,148.00","1,116.60","1,113.35","1,131.00","1,126.95","1,130.45","1,734.40","1,015.00",584795,"661,080,314.45",29955
"28-Jul-2022","EQ","1,129.95","1,138.15","1,108.25","1,121.75","1,116.10","1,113.35","1,121.94","1,734.40","1,015.00",359777,"403,647,983.70",26587
"27-Jul-2022","EQ","1,131.00","1,134.55","1,118.00","1,131.30","1,124.00","1,121.75","1,123.70","1,734.40","1,015.00",232041,"260,744,508.30",23012
"26-Jul-2022","EQ","1,133.80","1,154.20","1,125.00","1,133.80","1,128.00","1,131.30","1,136.47","1,734.40","1,015.00",371511,"422,210,856.55",25759
"25-Jul-2022","EQ","1,143.00","1,158.00","1,132.10","1,142.65","1,134.00","1,133.80","1,139.56","1,734.40","1,015.00",270086,"307,779,034.10",16403
"22-Jul-2022","EQ","1,133.90","1,164.50","1,132.05","1,129.35","1,142.00","1,142.65","1,147.46","1,734.40","1,015.00",562573,"645,530,441.70",27492
"21-Jul-2022","EQ","1,126.40","1,137.90","1,121.25","1,123.65","1,131.00","1,129.35","1,130.71","1,734.40","1,015.00",279887,"316,471,350.30",16193
"20-Jul-2022","EQ","1,120.20","1,145.75","1,115.75","1,107.85","1,124.00","1,123.65","1,131.20","1,734.40","1,015.00",603745,"682,955,794.95",28856
"19-Jul-2022","EQ","1,107.00","1,119.35","1,100.00","1,110.00","1,108.00","1,107.85","1,108.86","1,734.40","1,015.00",294647,"326,721,971.20",17662
"18-Jul-2022","EQ","1,100.00","1,116.95","1,100.00","1,095.35","1,111.00","1,110.00","1,108.58","1,734.40","1,015.00",248423,"275,396,774.10",15307
"15-Jul-2022","EQ","1,103.70","1,105.85","1,084.60","1,097.45","1,097.80","1,095.35","1,094.81","1,734.40","1,015.00",178588,"195,520,717.15",15515
"14-Jul-2022","EQ","1,113.10","1,117.95","1,096.00","1,112.45","1,097.80","1,097.45","1,101.30","1,734.40","1,015.00",238251,"262,386,590.40",17254
"13-Jul-2022","EQ","1,130.05","1,139.20","1,110.00","1,126.05","1,112.40","1,112.45","1,124.78","1,734.40","1,015.00",401076,"451,121,660.20",21799
"12-Jul-2022","EQ","1,107.90","1,147.65","1,104.95","1,111.70","1,124.00","1,126.05","1,126.90","1,734.40","1,015.00",563891,"635,448,429.45",30952
"11-Jul-2022","EQ","1,109.00","1,115.35","1,101.10","1,113.75","1,112.95","1,111.70","1,107.86","1,734.40","1,015.00",191609,"212,276,014.85",14675
"08-Jul-2022","EQ","1,125.00","1,131.80","1,107.80","1,118.35","1,113.00","1,113.75","1,118.08","1,734.40","1,010.10",304958,"340,966,816.50",17611
"07-Jul-2022","EQ","1,106.50","1,124.00","1,101.10","1,093.10","1,119.00","1,118.35","1,113.65","1,734.40","1,010.10",525120,"584,799,894.40",23154
"06-Jul-2022","EQ","1,093.30","1,098.90","1,083.25","1,093.45","1,096.20","1,093.10","1,091.61","1,734.40","1,010.10",252719,"275,870,564.85",23763
"05-Jul-2022","EQ","1,112.00","1,121.35","1,090.00","1,108.80","1,091.60","1,093.45","1,104.01","1,734.40","1,010.10",353502,"390,268,411.40",26332
"04-Jul-2022","EQ","1,103.60","1,117.70","1,103.60","1,103.50","1,107.85","1,108.80","1,110.27","1,734.40","1,010.10",166200,"184,527,179.10",12175
"01-Jul-2022","EQ","1,111.40","1,117.70","1,096.00","1,114.40","1,105.00","1,103.50","1,105.59","1,734.40","971.50",208635,"230,665,110.25",17616
"30-Jun-2022","EQ","1,105.00","1,128.85","1,104.00","1,104.30","1,113.00","1,114.40","1,114.90","1,734.40","971.50",275338,"306,974,651.50",16902
"29-Jun-2022","EQ","1,102.00","1,115.25","1,095.10","1,110.10","1,107.00","1,104.30","1,107.29","1,734.40","971.50",210980,"233,616,166.20",12535
"28-Jun-2022","EQ","1,111.95","1,118.70","1,102.85","1,114.35","1,110.00","1,110.10","1,109.90","1,734.40","971.50",158540,"175,963,841.35",11679
"27-Jun-2022","EQ","1,132.00","1,139.00","1,113.00","1,115.45","1,113.90","1,114.35","1,119.40","1,734.40","971.50",325593,"364,468,220.20",20237
"24-Jun-2022","EQ","1,090.00","1,135.00","1,087.20","1,079.05","1,117.00","1,115.45","1,110.79","1,734.40","916.15",538109,"597,724,045.95",28004
"23-Jun-2022","EQ","1,086.00","1,094.35","1,071.25","1,079.15","1,077.00","1,079.05","1,082.54","1,734.40","916.15",293388,"317,605,222.05",19638
"22-Jun-2022","EQ","1,094.85","1,099.00","1,075.05","1,099.80","1,077.05","1,079.15","1,085.44","1,734.40","916.15",258973,"281,100,785.80",19624
"21-Jun-2022","EQ","1,097.00","1,118.40","1,090.10","1,081.65","1,096.00","1,099.80","1,106.50","1,734.40","916.15",521164,"576,665,627.75",35190
"20-Jun-2022","EQ","1,108.65","1,117.70","1,066.75","1,105.40","1,083.95","1,081.65","1,088.73","1,734.40","916.15",480812,"523,473,328.95",35969
"17-Jun-2022","EQ","1,108.00","1,125.40","1,087.75","1,107.50","1,099.00","1,105.40","1,109.79","1,734.40","916.15",486658,"540,086,886.75",30769
"16-Jun-2022","EQ","1,146.00","1,152.05","1,100.20","1,135.95","1,105.00","1,107.50","1,125.93","1,734.40","916.15",456745,"514,260,749.45",34384
"15-Jun-2022","EQ","1,139.80","1,144.30","1,126.00","1,118.00","1,131.05","1,135.95","1,135.51","1,734.40","916.15",378742,"430,065,422.20",19129
"14-Jun-2022","EQ","1,084.00","1,125.40","1,080.00","1,090.50","1,120.00","1,118.00","1,114.47","1,734.40","916.15",543713,"605,952,369.65",28266
"13-Jun-2022","EQ","1,087.00","1,110.00","1,076.00","1,110.55","1,093.35","1,090.50","1,092.48","1,734.40","916.15",527470,"576,250,720.65",41481
"10-Jun-2022","EQ","1,111.00","1,123.85","1,105.00","1,125.25","1,110.80","1,110.55","1,113.32","1,734.40","916.15",380390,"423,494,463.95",27707
"09-Jun-2022","EQ","1,128.00","1,153.00","1,115.00","1,135.40","1,127.00","1,125.25","1,133.50","1,734.40","916.15",658027,"745,870,990.85",36376
"08-Jun-2022","EQ","1,163.10","1,166.60","1,130.00","1,152.40","1,131.00","1,135.40","1,145.87","1,734.40","916.15",362718,"415,628,257.40",24618
"07-Jun-2022","EQ","1,163.90","1,175.00","1,139.10","1,171.30","1,168.25","1,152.40","1,151.27","1,734.40","916.15",450599,"518,761,470.65",27482
"06-Jun-2022","EQ","1,194.70","1,196.60","1,166.45","1,196.60","1,173.90","1,171.30","1,175.16","1,734.40","916.15",401285,"471,576,058.15",23592
"03-Jun-2022","EQ","1,208.70","1,239.90","1,181.95","1,195.85","1,200.00","1,196.60","1,211.90","1,734.40","916.15",1046700,"1,268,499,100.20",47879
"02-Jun-2022","EQ","1,191.90","1,228.00","1,171.00","1,192.05","1,198.00","1,195.85","1,199.61","1,734.40","916.15",1032909,"1,239,087,178.00",50096
"01-Jun-2022","EQ","1,263.80","1,280.80","1,188.00","1,257.45","1,191.95","1,192.05","1,229.32","1,734.40","916.15",1463929,"1,799,633,178.30",82032
"31-May-2022","EQ","1,127.70","1,297.30","1,123.10","1,123.05","1,247.00","1,257.45","1,236.45","1,734.40","916.15",3910054,"4,834,577,626.40",172752
"30-May-2022","EQ","1,102.25","1,128.00","1,095.55","1,082.20","1,128.00","1,123.05","1,116.86","1,734.40","916.15",390949,"436,634,053.95",24426
"27-May-2022","EQ","1,071.00","1,093.00","1,061.55","1,051.80","1,083.00","1,082.20","1,077.76","1,734.40","870.00",440354,"474,595,997.65",31752
"26-May-2022","EQ","1,055.00","1,072.00","1,015.00","1,053.15","1,072.00","1,051.80","1,039.58","1,734.40","870.00",499424,"519,189,198.45",42864
"25-May-2022","EQ","1,104.05","1,110.90","1,050.00","1,099.90","1,054.00","1,053.15","1,071.16","1,734.40","870.00",413285,"442,696,363.05",47391
"24-May-2022","EQ","1,131.90","1,139.40","1,095.10","1,134.90","1,103.00","1,099.90","1,111.50","1,734.40","870.00",399866,"444,450,845.55",40676
"23-May-2022","EQ","1,149.95","1,150.00","1,121.75","1,137.50","1,137.00","1,134.90","1,133.35","1,734.40","870.00",422062,"478,344,310.65",29626
"20-May-2022","EQ","1,158.00","1,160.75","1,130.10","1,133.05","1,140.00","1,137.50","1,140.92","1,734.40","840.00",327308,"373,432,824.70",24321
"19-May-2022","EQ","1,112.00","1,142.05","1,102.40","1,149.85","1,133.00","1,133.05","1,124.21","1,734.40","840.00",467850,"525,960,811.30",33967
"18-May-2022","EQ","1,170.00","1,178.55","1,145.00","1,154.05","1,155.00","1,149.85","1,159.67","1,734.40","840.00",537932,"623,822,342.50",38993
"17-May-2022","EQ","1,119.00","1,167.00","1,105.10","1,106.35","1,164.00","1,154.05","1,127.71","1,734.40","840.00",732338,"825,865,818.80",46077
"16-May-2022","EQ","1,109.00","1,124.00","1,082.15","1,088.85","1,109.00","1,106.35","1,103.01","1,734.40","840.00",426953,"470,931,364.00",40292
"13-May-2022","EQ","1,107.00","1,124.95","1,080.00","1,074.35","1,098.00","1,088.85","1,105.31","1,734.40","792.00",819706,"906,032,631.95",60068
"12-May-2022","EQ","1,073.90","1,090.90","1,063.00","1,095.00","1,081.00","1,074.35","1,077.16","1,734.40","792.00",713520,"768,578,177.60",57739
"11-May-2022","EQ","1,149.00","1,157.85","1,055.65","1,148.75","1,103.75","1,095.00","1,096.93","1,734.40","792.00",1408074,"1,544,552,357.40",109346
"10-May-2022","EQ","1,170.00","1,180.00","1,140.50","1,183.20","1,145.00","1,148.75","1,157.30","1,734.40","792.00",995263,"1,151,813,709.65",87696
"09-May-2022","EQ","1,208.95","1,208.95","1,175.00","1,218.45","1,183.00","1,183.20","1,183.44","1,734.40","792.00",695045,"822,544,714.10",65231
"06-May-2022","EQ","1,210.00","1,230.00","1,190.00","1,230.35","1,230.00","1,218.45","1,200.84","1,734.40","770.05",858008,"1,030,328,197.20",79094
"05-May-2022","EQ","1,289.00","1,298.90","1,221.10","1,270.60","1,236.00","1,230.35","1,250.00","1,734.40","770.05",812902,"1,016,124,011.60",74764
"04-May-2022","EQ","1,294.00","1,318.75","1,251.00","1,294.85","1,282.00","1,270.60","1,279.33","1,734.40","770.05",897807,"1,148,587,124.40",81329
"02-May-2022","EQ","1,361.00","1,361.00","1,290.00","1,379.50","1,300.00","1,294.85","1,311.70","1,734.40","770.05",1732156,"2,272,075,920.75",140750
"29-Apr-2022","EQ","1,405.00","1,438.50","1,374.00","1,399.25","1,380.60","1,379.50","1,405.22","1,734.40","725.00",943153,"1,325,336,355.95",51387
"28-Apr-2022","EQ","1,405.00","1,412.80","1,381.10","1,393.00","1,396.20","1,399.25","1,393.92","1,734.40","725.00",430543,"600,142,425.25",30309
