"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"DMART","EQ","16-Sep-2022","4,525.85","4,528.90","4,550.00","4,285.40","4,340.00","4,327.55","4,384.11","5,84,163","2,56,10,37,039.75","48,819","3,63,899","62.29"
"DMART","EQ","19-Sep-2022","4,327.55","4,340.00","4,417.20","4,271.25","4,351.00","4,348.00","4,358.71","2,35,756","1,02,75,92,244.10","30,568","99,151","42.06"
"DMART","EQ","20-Sep-2022","4,348.00","4,401.10","4,412.00","4,330.00","4,341.15","4,349.30","4,368.60","2,03,661","88,97,14,422.40","21,673","1,08,010","53.03"
"DMART","EQ","21-Sep-2022","4,349.30","4,349.00","4,394.95","4,292.05","4,306.00","4,308.70","4,320.21","2,23,827","96,69,79,737.50","31,499","99,584","44.49"
"DMART","EQ","22-Sep-2022","4,308.70","4,288.75","4,440.60","4,257.00","4,439.00","4,431.70","4,379.16","4,65,230","2,03,73,14,418.20","50,743","1,89,218","40.67"
"DMART","EQ","23-Sep-2022","4,431.70","4,450.00","4,469.90","4,351.00","4,371.95","4,367.00","4,416.36","2,41,647","1,06,71,99,909.00","30,872","79,939","33.08"
"DMART","EQ","26-Sep-2022","4,367.00","4,323.00","4,448.00","4,261.00","4,330.80","4,375.30","4,369.40","4,03,076","1,76,11,99,310.25","53,673","1,55,560","38.59"
"DMART","EQ","27-Sep-2022","4,375.30","4,375.30","4,417.50","4,270.00","4,285.00","4,283.20","4,318.35","2,37,462","1,02,54,43,506.90","31,927","1,06,654","44.91"
"DMART","EQ","28-Sep-2022","4,283.20","4,249.00","4,367.95","4,240.00","4,300.55","4,318.15","4,335.27","3,52,261","1,52,71,46,581.10","49,099","1,88,760","53.59"
"DMART","EQ","29-Sep-2022","4,318.15","4,365.00","4,416.95","4,220.10","4,241.00","4,240.55","4,301.15","5,18,364","2,22,95,61,548.10","53,759","3,01,069","58.08"
"DMART","EQ","30-Sep-2022","4,240.55","4,270.00","4,400.00","4,251.20","4,390.05","4,386.55","4,347.05","3,52,698","1,53,31,94,846.25","41,096","1,50,916","42.79"
"DMART","BL","03-Oct-2022","4,232.25","4,386.55","4,386.55","4,386.55","4,386.55","4,386.55","4,386.55","2,10,164","92,18,94,894.20","1","-","-"
"DMART","EQ","03-Oct-2022","4,386.55","4,399.00","4,465.85","4,389.80","4,438.10","4,443.75","4,439.81","2,96,102","1,31,46,37,181.15","33,574","1,30,398","44.04"
"DMART","EQ","04-Oct-2022","4,443.75","4,600.00","4,600.00","4,460.55","4,480.00","4,479.55","4,509.24","6,05,857","2,73,19,54,321.55","73,911","2,21,501","36.56"
"DMART","EQ","06-Oct-2022","4,479.55","4,540.00","4,540.00","4,400.00","4,415.00","4,413.85","4,460.73","3,26,251","1,45,53,16,402.05","47,890","1,50,800","46.22"
"DMART","EQ","07-Oct-2022","4,413.85","4,435.95","4,482.00","4,411.25","4,465.50","4,471.45","4,450.60","2,13,203","94,88,80,898.95","27,095","71,168","33.38"
"DMART","EQ","10-Oct-2022","4,471.45","4,440.10","4,495.00","4,406.05","4,465.00","4,471.75","4,462.47","1,83,914","82,07,10,022.35","23,050","66,542","36.18"
"DMART","EQ","11-Oct-2022","4,471.75","4,485.00","4,486.00","4,358.50","4,363.00","4,381.10","4,415.03","2,68,072","1,18,35,46,221.70","36,991","1,21,524","45.33"
"DMART","EQ","12-Oct-2022","4,381.10","4,398.75","4,429.00","4,330.00","4,336.90","4,352.90","4,381.62","2,07,335","90,84,63,619.40","29,232","82,902","39.98"
"DMART","EQ","13-Oct-2022","4,352.90","4,366.00","4,366.00","4,300.10","4,314.95","4,309.95","4,320.60","1,71,144","73,94,44,408.60","23,476","79,508","46.46"
"DMART","EQ","14-Oct-2022","4,309.95","4,398.50","4,399.00","4,291.15","4,298.05","4,306.15","4,327.41","1,88,039","81,37,21,165.75","26,372","90,872","48.33"
"DMART","EQ","17-Oct-2022","4,306.15","4,283.95","4,307.95","4,140.05","4,151.25","4,153.45","4,185.40","9,50,223","3,97,70,66,361.15","1,27,112","4,05,493","42.67"
"DMART","EQ","18-Oct-2022","4,153.45","4,188.00","4,189.00","4,110.00","4,135.00","4,139.35","4,147.01","3,46,218","1,43,57,69,983.90","40,195","1,36,277","39.36"
"DMART","EQ","19-Oct-2022","4,139.35","4,168.00","4,194.10","4,139.35","4,164.95","4,167.85","4,174.08","2,66,990","1,11,44,37,494.60","41,264","1,18,511","44.39"
"DMART","EQ","20-Oct-2022","4,167.85","4,155.00","4,233.00","4,140.45","4,224.00","4,226.25","4,218.63","2,92,757","1,23,50,34,681.65","28,364","1,32,328","45.20"
"DMART","EQ","21-Oct-2022","4,226.25","4,244.00","4,249.75","4,190.50","4,222.85","4,215.55","4,214.21","1,84,554","77,77,49,299.95","20,377","97,017","52.57"
"DMART","EQ","24-Oct-2022","4,215.55","4,271.90","4,273.00","4,210.00","4,229.90","4,229.95","4,245.29","71,402","30,31,22,078.00","12,772","39,069","54.72"
"DMART","BL","25-Oct-2022","4,386.55","4,229.95","4,229.95","4,229.95","4,229.95","4,229.95","4,229.95","1,36,685","57,81,70,715.75","1","-","-"
"DMART","EQ","25-Oct-2022","4,229.95","4,221.00","4,249.50","4,165.00","4,237.85","4,235.60","4,220.61","1,60,107","67,57,49,284.35","21,666","84,485","52.77"
"DMART","EQ","27-Oct-2022","4,235.60","4,248.00","4,300.00","4,217.30","4,295.00","4,271.40","4,256.18","3,01,435","1,28,29,62,945.80","37,330","1,78,015","59.06"
"DMART","EQ","28-Oct-2022","4,271.40","4,281.40","4,320.00","4,251.55","4,315.00","4,307.35","4,285.77","1,20,314","51,56,38,123.00","21,779","62,518","51.96"
"DMART","EQ","31-Oct-2022","4,307.35","4,316.50","4,348.00","4,290.00","4,324.00","4,320.90","4,318.52","1,86,409","80,50,11,023.70","27,787","99,772","53.52"
"DMART","EQ","01-Nov-2022","4,320.90","4,329.00","4,347.10","4,232.55","4,260.00","4,247.50","4,273.02","2,49,229","1,06,49,60,363.45","33,889","1,37,413","55.14"
"DMART","EQ","02-Nov-2022","4,247.50","4,264.80","4,268.00","4,177.00","4,193.00","4,193.65","4,206.55","2,54,614","1,07,10,47,232.10","28,597","1,36,981","53.80"
"DMART","BL","03-Nov-2022","4,229.95","4,193.65","4,193.65","4,193.65","4,193.65","4,193.65","4,193.65","2,54,062","1,06,54,47,106.30","1","-","-"
"DMART","EQ","03-Nov-2022","4,193.65","4,180.00","4,230.00","4,165.00","4,197.00","4,194.20","4,192.27","1,53,178","64,21,63,397.45","19,248","67,287","43.93"
"DMART","EQ","04-Nov-2022","4,194.20","4,200.00","4,207.95","4,150.00","4,168.00","4,167.35","4,158.41","5,32,072","2,21,25,74,717.25","30,680","4,43,053","83.27"
"DMART","EQ","07-Nov-2022","4,167.35","4,188.80","4,214.10","4,140.50","4,169.00","4,173.50","4,167.76","3,95,435","1,64,80,78,833.10","37,716","2,95,016","74.61"
"DMART","EQ","09-Nov-2022","4,173.50","4,199.00","4,199.00","4,118.00","4,160.45","4,158.70","4,152.70","3,61,585","1,50,15,55,773.10","29,878","2,63,380","72.84"
"DMART","EQ","10-Nov-2022","4,158.70","4,158.70","4,175.00","4,104.40","4,142.00","4,138.85","4,140.61","2,54,477","1,05,36,89,904.10","26,936","1,66,328","65.36"
"DMART","EQ","11-Nov-2022","4,138.85","4,159.55","4,169.00","4,117.05","4,127.00","4,128.35","4,133.46","2,14,392","88,61,80,704.10","25,174","1,48,506","69.27"
"DMART","BL","14-Nov-2022","4,193.65","4,128.35","4,128.35","4,128.35","4,128.35","4,128.35","4,128.35","2,54,062","1,04,88,56,857.70","1","-","-"
"DMART","EQ","14-Nov-2022","4,128.35","4,144.80","4,144.80","4,081.80","4,096.00","4,098.35","4,099.24","3,00,509","1,23,18,57,218.95","41,339","1,82,472","60.72"
"DMART","EQ","15-Nov-2022","4,098.35","4,082.00","4,109.80","4,046.00","4,046.50","4,053.80","4,059.70","4,96,893","2,01,72,34,976.55","47,751","3,92,297","78.95"
"DMART","EQ","16-Nov-2022","4,053.80","4,053.80","4,059.95","4,003.15","4,013.50","4,011.70","4,015.30","2,90,474","1,16,63,38,932.25","35,345","1,98,920","68.48"
"DMART","EQ","17-Nov-2022","4,011.70","4,000.00","4,009.95","3,940.00","3,955.00","3,949.20","3,966.27","3,65,371","1,44,91,60,402.65","54,974","2,20,847","60.44"
"DMART","EQ","18-Nov-2022","3,949.20","3,968.90","4,020.00","3,890.05","3,929.70","3,910.60","3,924.92","4,02,297","1,57,89,84,851.70","49,487","2,22,438","55.29"
