"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"HAL","EQ","16-Sep-2022","2,544.15","2,540.00","2,553.90","2,418.70","2,479.95","2,483.40","2,493.42","1,461,931","3,645,201,065.95","83,386","534,836","36.58"
"HAL","EQ","19-Sep-2022","2,483.40","2,490.00","2,529.95","2,436.15","2,482.00","2,481.10","2,476.02","1,138,996","2,820,180,719.15","53,698","445,567","39.12"
"HAL","EQ","20-Sep-2022","2,481.10","2,493.55","2,524.35","2,455.00","2,464.00","2,461.05","2,488.43","831,217","2,068,426,032.05","46,569","344,042","41.39"
"HAL","EQ","21-Sep-2022","2,461.05","2,466.55","2,481.00","2,409.00","2,466.00","2,454.65","2,437.30","1,266,724","3,087,383,572.30","55,917","637,605","50.33"
"HAL","EQ","22-Sep-2022","2,454.65","2,460.00","2,530.00","2,441.25","2,491.50","2,487.55","2,489.28","1,363,237","3,393,472,242.25","60,382","413,432","30.33"
"HAL","EQ","23-Sep-2022","2,487.55","2,495.00","2,503.20","2,407.05","2,435.00","2,438.80","2,450.77","755,910","1,852,562,245.60","46,975","292,805","38.74"
"HAL","EQ","26-Sep-2022","2,438.80","2,392.45","2,407.95","2,271.50","2,330.00","2,339.65","2,333.93","1,453,620","3,392,648,693.05","92,751","394,790","27.16"
"HAL","EQ","27-Sep-2022","2,339.65","2,350.00","2,364.40","2,273.00","2,282.00","2,282.35","2,302.65","949,705","2,186,833,663.65","53,910","383,966","40.43"
"HAL","EQ","28-Sep-2022","2,282.35","2,260.00","2,317.00","2,241.05","2,284.50","2,290.20","2,288.86","671,464","1,536,885,843.40","40,768","211,819","31.55"
"HAL","EQ","29-Sep-2022","2,290.20","2,310.00","2,328.65","2,261.40","2,322.00","2,314.80","2,304.01","1,781,183","4,103,862,210.90","54,079","1,102,654","61.91"
"HAL","EQ","30-Sep-2022","2,314.80","2,314.00","2,357.50","2,290.00","2,355.00","2,344.85","2,328.53","768,634","1,789,787,440.50","35,394","254,222","33.07"
"HAL","EQ","03-Oct-2022","2,344.85","2,354.85","2,378.60","2,276.00","2,296.00","2,291.60","2,337.33","975,646","2,280,406,319.95","55,089","231,389","23.72"
"HAL","EQ","04-Oct-2022","2,291.60","2,322.10","2,374.20","2,320.00","2,363.05","2,368.00","2,355.73","824,353","1,941,954,985.80","36,850","313,933","38.08"
"HAL","EQ","06-Oct-2022","2,368.00","2,375.05","2,493.70","2,370.50","2,476.00","2,476.00","2,454.59","1,601,688","3,931,483,937.55","72,008","500,044","31.22"
"HAL","EQ","07-Oct-2022","2,476.00","2,468.90","2,499.00","2,441.70","2,459.60","2,459.70","2,463.99","889,022","2,190,543,891.85","36,339","328,164","36.91"
"HAL","EQ","10-Oct-2022","2,459.70","2,440.00","2,452.30","2,410.00","2,420.00","2,419.75","2,427.00","672,566","1,632,315,832.85","33,820","256,544","38.14"
"HAL","EQ","11-Oct-2022","2,419.75","2,429.00","2,451.00","2,360.00","2,364.70","2,368.80","2,408.89","605,691","1,459,044,601.85","37,940","220,953","36.48"
"HAL","EQ","12-Oct-2022","2,368.80","2,380.00","2,393.15","2,345.00","2,360.00","2,360.20","2,365.77","747,990","1,769,571,686.40","29,727","254,556","34.03"
"HAL","EQ","13-Oct-2022","2,360.20","2,363.00","2,399.00","2,348.75","2,360.00","2,360.40","2,373.11","746,789","1,772,210,220.55","28,402","289,496","38.77"
"HAL","EQ","14-Oct-2022","2,360.40","2,390.00","2,405.75","2,331.00","2,340.50","2,337.00","2,368.14","454,240","1,075,701,972.05","22,971","167,493","36.87"
"HAL","EQ","17-Oct-2022","2,337.00","2,337.00","2,386.95","2,333.05","2,365.00","2,363.95","2,364.97","848,611","2,006,942,261.20","27,444","433,880","51.13"
"HAL","EQ","18-Oct-2022","2,363.95","2,376.20","2,487.95","2,360.00","2,483.00","2,477.95","2,440.19","1,549,498","3,781,062,779.95","63,443","467,364","30.16"
"HAL","EQ","19-Oct-2022","2,477.95","2,490.35","2,557.00","2,449.10","2,476.05","2,469.95","2,498.24","1,842,431","4,602,826,100.35","88,820","502,981","27.30"
"HAL","EQ","20-Oct-2022","2,469.95","2,464.90","2,506.00","2,422.55","2,453.00","2,448.00","2,458.94","1,080,468","2,656,801,864.20","41,499","372,220","34.45"
"HAL","EQ","21-Oct-2022","2,448.00","2,465.00","2,490.00","2,380.00","2,403.95","2,402.55","2,429.45","776,297","1,885,974,254.85","44,791","197,741","25.47"
"HAL","EQ","24-Oct-2022","2,402.55","2,424.55","2,424.80","2,401.00","2,417.75","2,414.95","2,413.39","202,487","488,680,965.10","12,825","94,690","46.76"
"HAL","EQ","25-Oct-2022","2,414.95","2,417.75","2,516.00","2,407.00","2,505.00","2,503.85","2,472.71","1,295,940","3,204,483,958.05","52,850","493,047","38.05"
"HAL","EQ","27-Oct-2022","2,503.85","2,514.80","2,529.80","2,487.35","2,518.00","2,520.45","2,509.16","714,616","1,793,087,690.85","33,416","174,533","24.42"
"HAL","EQ","28-Oct-2022","2,520.45","2,520.00","2,529.00","2,481.60","2,522.00","2,524.65","2,510.74","557,520","1,399,787,393.65","34,998","161,164","28.91"
"HAL","EQ","31-Oct-2022","2,524.65","2,526.00","2,551.95","2,512.40","2,531.85","2,530.05","2,531.84","519,410","1,315,061,952.80","33,311","153,009","29.46"
"HAL","EQ","01-Nov-2022","2,530.05","2,538.00","2,549.50","2,506.85","2,531.00","2,531.35","2,530.63","420,798","1,064,883,273.05","29,942","121,990","28.99"
"HAL","EQ","02-Nov-2022","2,531.35","2,530.00","2,549.00","2,475.00","2,490.00","2,493.85","2,506.61","632,658","1,585,827,204.00","41,459","223,371","35.31"
"HAL","EQ","03-Nov-2022","2,493.85","2,460.00","2,567.00","2,460.00","2,543.00","2,545.15","2,534.55","965,376","2,446,789,011.90","48,505","265,940","27.55"
"HAL","EQ","04-Nov-2022","2,545.15","2,558.70","2,574.00","2,525.60","2,559.00","2,560.95","2,552.44","932,905","2,381,180,975.10","46,605","347,804","37.28"
"HAL","EQ","07-Nov-2022","2,560.95","2,573.80","2,607.95","2,553.00","2,591.50","2,592.60","2,583.81","1,058,681","2,735,431,308.25","56,119","454,601","42.94"
"HAL","EQ","09-Nov-2022","2,592.60","2,604.00","2,604.00","2,490.00","2,500.00","2,502.55","2,534.16","965,113","2,445,751,310.90","62,736","409,137","42.39"
