"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"HDFCBANK","EQ","16-Sep-2022","1,520.70","1,503.10","1,514.70","1,483.00","1,497.50","1,492.75","1,499.18","10,280,023","15,411,585,013.35","204,150","7,353,883","71.54"
"HDFCBANK","EQ","19-Sep-2022","1,492.75","1,489.00","1,514.00","1,480.00","1,504.25","1,502.60","1,501.17","6,038,019","9,064,064,674.30","123,407","3,981,527","65.94"
"HDFCBANK","EQ","20-Sep-2022","1,502.60","1,514.00","1,524.00","1,509.90","1,517.55","1,520.70","1,518.57","5,390,834","8,186,358,426.60","125,775","3,384,983","62.79"
"HDFCBANK","EQ","21-Sep-2022","1,520.70","1,508.00","1,521.50","1,505.00","1,517.40","1,518.35","1,515.55","4,536,152","6,874,779,529.40","129,113","2,789,254","61.49"
"HDFCBANK","EQ","22-Sep-2022","1,518.35","1,502.00","1,510.15","1,482.75","1,486.20","1,486.00","1,494.95","6,024,072","9,005,666,828.65","130,337","3,337,049","55.40"
"HDFCBANK","EQ","23-Sep-2022","1,486.00","1,472.35","1,475.00","1,437.00","1,447.00","1,446.15","1,451.15","7,903,126","11,468,624,906.55","254,765","4,730,527","59.86"
"HDFCBANK","EQ","26-Sep-2022","1,446.15","1,425.35","1,436.45","1,418.00","1,429.80","1,426.65","1,426.27","4,461,743","6,363,659,216.05","183,001","2,489,197","55.79"
"HDFCBANK","EQ","27-Sep-2022","1,426.65","1,432.40","1,440.00","1,407.00","1,414.65","1,413.85","1,423.81","6,319,850","8,998,292,829.25","181,595","3,874,624","61.31"
"HDFCBANK","EQ","28-Sep-2022","1,413.85","1,406.00","1,410.60","1,385.90","1,387.00","1,389.55","1,397.25","5,908,066","8,255,059,324.45","215,474","3,384,446","57.29"
"HDFCBANK","EQ","29-Sep-2022","1,389.55","1,396.30","1,402.20","1,378.80","1,381.50","1,382.35","1,387.85","7,205,194","9,999,718,372.70","258,296","4,737,741","65.75"
"HDFCBANK","EQ","30-Sep-2022","1,382.35","1,378.80","1,431.45","1,365.00","1,422.05","1,421.35","1,407.93","7,890,878","11,109,799,543.35","181,624","4,709,460","59.68"
"HDFCBANK","EQ","03-Oct-2022","1,421.35","1,409.95","1,417.85","1,401.10","1,411.00","1,413.20","1,410.01","5,770,556","8,136,520,348.45","147,339","3,823,032","66.25"
"HDFCBANK","EQ","04-Oct-2022","1,413.20","1,429.50","1,458.00","1,426.15","1,456.15","1,453.00","1,448.36","5,769,263","8,355,997,412.35","130,624","3,944,499","68.37"
"HDFCBANK","EQ","06-Oct-2022","1,453.00","1,459.95","1,462.60","1,434.20","1,436.00","1,437.00","1,449.04","6,274,599","9,092,118,877.70","170,441","4,251,575","67.76"
"HDFCBANK","EQ","07-Oct-2022","1,437.00","1,430.25","1,434.95","1,420.35","1,431.00","1,430.80","1,427.47","6,648,997","9,491,276,053.80","160,989","4,865,856","73.18"
"HDFCBANK","EQ","10-Oct-2022","1,430.80","1,408.00","1,426.00","1,398.20","1,415.95","1,415.00","1,409.21","6,554,651","9,236,903,280.05","215,487","4,189,926","63.92"
"HDFCBANK","EQ","11-Oct-2022","1,415.00","1,401.10","1,417.00","1,399.45","1,401.75","1,400.65","1,406.63","7,260,810","10,213,263,445.80","134,054","5,147,322","70.89"
"HDFCBANK","EQ","12-Oct-2022","1,400.65","1,403.20","1,414.85","1,397.30","1,410.75","1,409.80","1,406.74","4,612,525","6,488,607,643.50","112,637","2,969,793","64.39"
"HDFCBANK","EQ","13-Oct-2022","1,409.80","1,402.05","1,406.25","1,384.00","1,396.00","1,393.60","1,392.46","7,357,117","10,244,525,589.70","219,960","4,956,624","67.37"
"HDFCBANK","EQ","14-Oct-2022","1,393.60","1,417.00","1,447.00","1,415.25","1,446.00","1,439.00","1,434.65","6,424,960","9,217,592,931.30","149,782","3,114,030","48.47"
"HDFCBANK","EQ","17-Oct-2022","1,439.00","1,435.00","1,457.60","1,427.00","1,445.45","1,446.55","1,443.39","9,205,250","13,286,764,094.40","185,541","4,371,481","47.49"
"HDFCBANK","EQ","18-Oct-2022","1,446.55","1,458.05","1,462.90","1,440.00","1,442.85","1,443.85","1,449.88","5,280,554","7,656,144,753.65","144,735","3,226,764","61.11"
"HDFCBANK","EQ","19-Oct-2022","1,443.85","1,464.00","1,477.40","1,453.40","1,459.95","1,458.65","1,464.96","6,483,520","9,498,087,668.10","186,569","3,543,870","54.66"
"HDFCBANK","EQ","20-Oct-2022","1,458.65","1,444.00","1,452.90","1,442.50","1,449.05","1,448.80","1,447.55","3,949,039","5,716,441,334.25","149,480","2,511,393","63.60"
"HDFCBANK","EQ","21-Oct-2022","1,448.80","1,452.00","1,457.65","1,434.00","1,442.30","1,438.60","1,446.76","5,246,303","7,590,143,970.30","112,584","3,357,945","64.01"
"HDFCBANK","EQ","24-Oct-2022","1,438.60","1,454.30","1,463.00","1,454.30","1,458.85","1,461.05","1,460.44","1,083,897","1,582,962,572.75","44,924","466,892","43.08"
"HDFCBANK","EQ","25-Oct-2022","1,461.05","1,461.10","1,467.80","1,445.00","1,447.40","1,450.90","1,456.91","6,886,697","10,033,274,401.00","174,010","5,086,954","73.87"
"HDFCBANK","EQ","27-Oct-2022","1,450.90","1,464.50","1,467.35","1,451.25","1,456.00","1,454.40","1,457.90","7,968,638","11,617,489,645.45","167,453","6,190,681","77.69"
"HDFCBANK","EQ","28-Oct-2022","1,454.40","1,450.00","1,467.00","1,447.40","1,459.95","1,458.70","1,459.47","5,237,139","7,643,452,528.10","142,985","3,296,642","62.95"
"HDFCBANK","EQ","31-Oct-2022","1,458.70","1,472.00","1,498.00","1,467.25","1,495.90","1,496.70","1,487.44","6,415,264","9,542,306,136.50","197,801","3,899,406","60.78"
"HDFCBANK","EQ","01-Nov-2022","1,496.70","1,503.50","1,529.00","1,498.90","1,513.50","1,513.25","1,519.63","9,536,878","14,492,530,604.20","209,190","6,682,068","70.07"
"HDFCBANK","EQ","02-Nov-2022","1,513.25","1,517.00","1,528.25","1,511.60","1,514.95","1,514.20","1,520.14","6,360,203","9,668,407,272.05","134,056","4,316,158","67.86"
