"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2022","EQ","43.85","46.40","43.75","43.05","46.20","45.75","45.28","65.25","30.50",49247828,"2,229,834,251.50",70918
"25-Aug-2022","EQ","40.60","44.25","40.55","40.10","43.00","43.05","43.26","65.25","30.50",54924313,"2,375,855,971.70",78181
"24-Aug-2022","EQ","39.00","41.00","39.00","39.00","39.90","40.10","40.14","65.25","30.50",11164978,"448,132,342.25",20977
"23-Aug-2022","EQ","39.00","39.55","38.65","39.15","39.05","39.00","39.07","65.25","30.50",4607083,"180,002,177.95",9341
"22-Aug-2022","EQ","39.75","39.75","38.85","39.85","38.90","39.15","39.30","65.25","30.50",4003262,"157,317,378.60",10760
"19-Aug-2022","EQ","40.75","40.90","39.70","40.75","39.75","39.85","40.15","65.25","30.50",5064231,"203,348,108.45",10322
"18-Aug-2022","EQ","41.00","41.30","40.60","40.60","40.85","40.75","40.98","65.25","30.50",6581072,"269,708,072.35",11842
"17-Aug-2022","EQ","40.45","41.20","40.20","40.30","40.55","40.60","40.65","65.25","30.50",5271017,"214,273,467.35",10642
"16-Aug-2022","EQ","39.80","41.50","39.10","39.85","40.30","40.30","40.36","65.25","30.50",15949557,"643,734,957.60",23846
"12-Aug-2022","EQ","40.65","41.90","39.20","40.70","39.70","39.85","40.46","65.25","30.50",10603924,"429,083,290.80",17663
"11-Aug-2022","EQ","41.15","41.30","40.30","40.85","40.65","40.70","40.78","65.25","30.50",5249362,"214,089,468.90",13248
"10-Aug-2022","EQ","40.90","41.80","39.65","40.90","40.65","40.85","40.64","65.25","30.50",7893183,"320,785,050.55",15222
"08-Aug-2022","EQ","40.75","41.90","40.20","40.75","40.90","40.90","41.09","65.25","30.50",9270982,"380,942,871.70",16689
"05-Aug-2022","EQ","41.40","41.70","40.45","41.75","40.75","40.75","41.08","65.25","30.50",11217393,"460,853,834.35",20428
"04-Aug-2022","EQ","41.85","42.90","40.00","41.25","41.50","41.75","41.62","65.25","30.50",40725126,"1,695,004,266.50",62929
"03-Aug-2022","EQ","36.50","41.90","36.00","36.40","41.10","41.25","40.08","65.25","30.50",59985601,"2,404,290,813.45",81597
"02-Aug-2022","EQ","36.45","37.35","35.80","36.50","36.40","36.40","36.54","65.25","30.50",11360889,"415,077,643.30",18441
"01-Aug-2022","EQ","35.50","36.85","35.25","35.35","36.45","36.50","36.12","65.25","30.50",6127623,"221,353,798.85",15031
"29-Jul-2022","EQ","35.60","35.90","35.30","35.25","35.40","35.35","35.50","65.25","30.50",3293131,"116,898,697.45",7210
"28-Jul-2022","EQ","35.30","35.65","35.10","35.00","35.15","35.25","35.32","65.25","30.50",3413810,"120,580,744.30",8664
"27-Jul-2022","EQ","35.10","35.35","34.85","35.10","35.00","35.00","35.05","65.25","30.50",3247839,"113,825,317.25",6445
"26-Jul-2022","EQ","35.40","36.00","35.00","35.20","35.05","35.10","35.48","65.25","30.50",3997561,"141,833,004.85",10745
"25-Jul-2022","EQ","36.55","36.55","34.90","36.60","35.20","35.20","35.42","65.25","30.50",6634837,"235,024,050.45",12654
"22-Jul-2022","EQ","37.10","37.35","36.35","36.80","36.50","36.60","36.86","65.25","30.50",4881235,"179,906,796.15",12075
"21-Jul-2022","EQ","36.35","37.45","36.05","36.20","36.70","36.80","36.91","65.25","30.50",10932764,"403,582,597.95",17694
"20-Jul-2022","EQ","36.35","36.60","35.85","36.15","36.10","36.20","36.24","65.25","30.50",6477251,"234,764,884.05",13267
"19-Jul-2022","EQ","35.90","36.75","35.55","36.30","36.00","36.15","36.19","65.25","30.50",10430595,"377,495,762.65",19080
"18-Jul-2022","EQ","35.70","36.85","35.30","35.25","36.10","36.30","36.09","65.25","30.50",10293189,"371,515,402.55",22475
"15-Jul-2022","EQ","33.70","35.55","33.15","33.50","35.25","35.25","34.43","65.25","30.50",11547922,"397,613,717.25",17546
"14-Jul-2022","EQ","34.65","34.75","33.10","33.85","33.40","33.50","33.96","65.25","30.50",10528876,"357,594,907.15",24003
"13-Jul-2022","EQ","32.50","34.30","32.20","32.35","34.05","33.85","33.23","65.25","30.50",12571709,"417,736,661.70",21857
"12-Jul-2022","EQ","32.45","33.20","32.15","32.70","32.30","32.35","32.60","65.25","30.50",4400913,"143,457,151.05",8677
"11-Jul-2022","EQ","31.50","33.30","31.30","31.60","32.70","32.70","32.46","65.25","30.50",8285051,"268,950,456.75",14231
"08-Jul-2022","EQ","31.85","31.85","31.35","31.60","31.50","31.60","31.60","65.25","30.50",3347135,"105,774,703.60",6796
"07-Jul-2022","EQ","30.80","31.80","30.75","30.75","31.70","31.60","31.30","65.25","30.50",9625190,"301,254,744.15",17679
"06-Jul-2022","EQ","30.85","30.85","30.50","30.75","30.80","30.75","30.74","65.25","30.50",3639368,"111,856,095.55",6085
"05-Jul-2022","EQ","31.05","31.30","30.65","30.80","30.70","30.75","30.98","65.25","30.50",7318489,"226,712,726.30",9753
