"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"IRCTC","EQ","16-Sep-2022","724.35","724.40","730.35","692.00","703.95","703.00","710.81","3,745,099","2,662,065,024.70","93,893","1,216,459","32.48"
"IRCTC","EQ","19-Sep-2022","703.00","704.90","709.40","689.80","692.50","692.00","697.76","2,263,251","1,579,211,287.00","60,658","734,643","32.46"
"IRCTC","EQ","20-Sep-2022","692.00","699.90","715.00","698.40","706.55","706.15","709.18","2,330,872","1,653,015,084.75","48,543","661,284","28.37"
"IRCTC","EQ","21-Sep-2022","706.15","707.95","712.95","695.80","701.00","700.35","703.49","1,419,089","998,308,680.75","41,729","400,243","28.20"
"IRCTC","EQ","22-Sep-2022","700.35","700.00","705.00","693.10","702.80","700.90","699.78","1,654,457","1,157,759,640.90","40,649","351,074","21.22"
"IRCTC","EQ","23-Sep-2022","700.90","703.50","706.85","684.00","684.35","685.80","691.70","1,804,335","1,248,064,654.70","54,037","645,212","35.76"
"IRCTC","EQ","26-Sep-2022","685.80","680.00","681.40","661.00","663.95","664.50","669.40","3,249,490","2,175,210,792.95","84,723","1,162,026","35.76"
"IRCTC","EQ","27-Sep-2022","664.50","668.00","681.70","664.05","677.90","676.65","673.73","2,808,630","1,892,245,716.85","53,956","629,195","22.40"
"IRCTC","EQ","28-Sep-2022","676.65","671.90","682.90","666.70","681.50","680.10","676.49","2,044,821","1,383,307,835.25","43,677","728,055","35.60"
"IRCTC","EQ","29-Sep-2022","680.10","689.05","712.00","684.50","709.95","707.00","701.22","5,846,347","4,099,595,028.40","82,340","3,408,300","58.30"
"IRCTC","EQ","30-Sep-2022","707.00","705.00","712.00","695.20","706.00","706.00","703.44","3,220,279","2,265,276,734.25","62,568","965,443","29.98"
"IRCTC","EQ","03-Oct-2022","706.00","705.95","709.45","700.10","706.00","706.15","704.78","1,735,784","1,223,337,792.40","33,858","560,383","32.28"
"IRCTC","EQ","04-Oct-2022","706.15","714.00","720.00","708.70","719.00","719.25","715.19","2,443,139","1,747,313,198.15","48,226","1,009,475","41.32"
"IRCTC","EQ","06-Oct-2022","719.25","725.80","734.70","720.05","733.90","731.25","729.04","4,123,619","3,006,285,227.60","79,934","1,610,678","39.06"
"IRCTC","EQ","07-Oct-2022","731.25","733.00","737.60","724.05","735.00","735.25","731.90","3,152,365","2,307,210,863.50","56,327","909,876","28.86"
"IRCTC","EQ","10-Oct-2022","735.25","725.50","735.45","722.85","730.00","731.20","728.98","1,952,447","1,423,301,405.60","42,825","626,704","32.10"
"IRCTC","EQ","11-Oct-2022","731.20","735.00","746.60","721.10","723.20","725.60","737.26","3,747,651","2,762,986,604.40","74,352","826,572","22.06"
"IRCTC","EQ","12-Oct-2022","725.60","730.00","734.70","706.55","723.55","722.30","721.12","2,818,945","2,032,810,696.80","56,384","628,320","22.29"
"IRCTC","EQ","13-Oct-2022","722.30","722.00","727.90","711.60","725.00","724.10","721.23","1,887,973","1,361,670,100.90","33,997","457,124","24.21"
"IRCTC","EQ","14-Oct-2022","724.10","732.00","733.95","719.40","720.45","722.85","726.74","1,612,489","1,171,860,671.10","34,056","580,165","35.98"
"IRCTC","EQ","17-Oct-2022","722.85","719.20","729.80","712.35","727.00","728.00","722.15","1,387,810","1,002,200,288.70","34,175","469,858","33.86"
"IRCTC","EQ","18-Oct-2022","728.00","731.65","734.70","725.00","730.95","731.15","730.59","1,675,213","1,223,889,789.30","36,604","555,360","33.15"
"IRCTC","EQ","19-Oct-2022","731.15","733.00","755.45","730.20","743.00","742.80","747.23","6,094,000","4,553,640,736.00","119,465","1,879,049","30.83"
"IRCTC","EQ","20-Oct-2022","742.80","738.95","745.00","725.60","742.00","742.65","735.25","2,237,769","1,645,313,440.90","50,168","603,414","26.96"
"IRCTC","EQ","21-Oct-2022","742.65","743.00","756.00","735.30","742.00","743.55","746.33","2,936,578","2,191,661,099.10","60,651","717,645","24.44"
"IRCTC","EQ","24-Oct-2022","743.55","749.00","750.45","740.05","742.00","743.80","744.85","649,393","483,702,616.55","26,077","298,740","46.00"
"IRCTC","EQ","25-Oct-2022","743.80","742.25","747.00","735.60","739.60","740.40","741.83","1,544,325","1,145,629,104.30","34,073","397,528","25.74"
"IRCTC","EQ","27-Oct-2022","740.40","746.00","746.90","736.80","741.30","741.25","741.24","1,783,787","1,322,206,352.80","37,369","517,929","29.04"
"IRCTC","EQ","28-Oct-2022","741.25","741.30","744.80","735.25","739.00","739.40","739.56","1,484,665","1,098,004,196.00","36,946","491,487","33.10"
"IRCTC","EQ","31-Oct-2022","739.40","744.00","752.85","738.00","739.60","741.20","745.10","1,993,381","1,485,271,927.60","41,255","736,950","36.97"
"IRCTC","EQ","01-Nov-2022","741.20","745.00","747.65","739.35","742.00","742.25","742.66","1,359,226","1,009,445,517.10","30,411","483,235","35.55"
"IRCTC","EQ","02-Nov-2022","742.25","742.00","761.30","738.25","755.40","755.45","751.94","3,424,051","2,574,668,237.45","63,874","1,224,156","35.75"
"IRCTC","EQ","03-Nov-2022","755.45","751.95","760.00","746.00","752.50","751.40","751.65","2,828,562","2,126,080,122.10","63,193","793,968","28.07"
"IRCTC","EQ","04-Nov-2022","751.40","752.00","766.45","748.05","757.95","758.50","758.38","4,743,835","3,597,648,925.90","99,058","1,588,450","33.48"
"IRCTC","EQ","07-Nov-2022","758.50","762.30","774.90","761.50","763.50","763.90","768.63","4,583,239","3,522,804,324.95","96,834","1,585,220","34.59"
"IRCTC","EQ","09-Nov-2022","763.90","769.50","771.00","759.50","761.00","761.25","765.67","1,566,292","1,199,259,437.70","37,577","532,982","34.03"
"IRCTC","EQ","10-Nov-2022","761.25","762.00","763.00","738.00","745.90","744.45","747.06","2,557,799","1,910,831,899.30","53,194","999,637","39.08"
"IRCTC","EQ","11-Nov-2022","744.45","755.00","757.70","744.50","749.05","747.80","749.97","1,668,424","1,251,264,642.10","46,051","657,346","39.40"
"IRCTC","EQ","14-Nov-2022","747.80","751.70","765.00","750.05","759.00","758.80","759.26","2,342,968","1,778,917,456.95","51,456","695,755","29.70"
"IRCTC","EQ","15-Nov-2022","758.80","750.00","750.00","731.55","740.45","740.65","740.27","4,125,858","3,054,232,253.30","79,275","889,826","21.57"
"IRCTC","EQ","16-Nov-2022","740.65","742.00","748.80","722.05","728.00","728.15","736.66","2,945,626","2,169,931,212.05","65,759","821,628","27.89"
"IRCTC","EQ","17-Nov-2022","728.15","723.00","738.45","723.00","727.25","726.45","731.68","1,607,026","1,175,824,177.75","36,101","307,710","19.15"
