"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"ITC","EQ","16-Sep-2022","334.10","332.35","334.60","329.70","331.50","331.30","331.53","12,492,851","4,141,776,658.55","107,543","8,883,109","71.11"
"ITC","EQ","19-Sep-2022","331.30","329.10","336.90","329.10","335.60","335.60","334.29","14,365,461","4,802,297,577.20","117,354","9,948,423","69.25"
"ITC","EQ","20-Sep-2022","335.60","338.75","339.60","335.00","335.25","336.00","337.51","9,526,068","3,215,133,989.75","93,112","5,807,352","60.96"
"ITC","EQ","21-Sep-2022","336.00","336.00","345.20","335.50","340.60","340.95","340.58","20,992,080","7,149,565,838.70","161,744","11,514,472","54.85"
"ITC","EQ","22-Sep-2022","340.95","341.00","348.75","340.90","345.75","345.05","345.83","24,179,987","8,362,263,404.90","204,326","12,531,726","51.83"
"ITC","EQ","23-Sep-2022","345.05","347.50","349.55","343.30","347.00","346.40","346.63","22,838,807","7,916,609,370.80","173,655","14,348,402","62.82"
"ITC","EQ","26-Sep-2022","346.40","344.85","345.95","331.75","332.50","332.60","337.58","16,205,789","5,470,794,971.10","221,652","7,435,093","45.88"
"ITC","EQ","27-Sep-2022","332.60","335.00","339.55","334.00","335.55","334.85","336.38","9,991,052","3,360,744,442.30","134,083","4,708,346","47.13"
"ITC","EQ","28-Sep-2022","334.85","331.95","333.30","324.30","324.50","324.95","328.07","15,552,911","5,102,409,611.45","201,684","8,842,101","56.85"
"ITC","EQ","29-Sep-2022","324.95","329.00","334.90","327.75","334.35","333.05","332.71","18,281,337","6,082,448,649.00","175,901","9,484,291","51.88"
"ITC","EQ","30-Sep-2022","333.05","333.05","335.75","330.15","332.20","332.20","332.94","12,427,919","4,137,766,672.75","145,664","7,235,622","58.22"
"ITC","BL","03-Oct-2022","310.85","332.20","332.20","332.20","332.20","332.20","332.20","3,808,527","1,265,192,669.40","1","-","-"
