"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"ONGC","EQ","16-Sep-2022","132.60","131.10","132.00","130.00","130.95","131.25","130.99","20,909,579","2,739,022,587.95","69,415","13,514,797","64.63"
"ONGC","EQ","19-Sep-2022","131.25","132.10","134.35","129.70","131.05","130.55","131.61","19,411,428","2,554,827,496.05","96,673","7,091,695","36.53"
"ONGC","EQ","20-Sep-2022","130.55","131.40","133.60","131.30","132.95","133.20","132.86","13,080,582","1,737,909,004.55","71,193","6,235,988","47.67"
"ONGC","EQ","21-Sep-2022","133.20","132.20","133.20","130.05","130.80","130.90","131.14","11,156,865","1,463,073,115.45","56,258","5,501,509","49.31"
"ONGC","EQ","22-Sep-2022","130.90","130.40","130.85","128.10","128.60","128.65","129.29","11,366,882","1,469,663,958.70","69,389","4,887,170","42.99"
"ONGC","EQ","23-Sep-2022","128.65","128.25","129.10","127.50","128.35","128.60","128.25","10,407,849","1,334,761,495.20","66,993","4,875,251","46.84"
"ONGC","EQ","26-Sep-2022","128.60","127.30","128.80","122.65","123.30","123.45","124.16","12,848,954","1,595,379,364.10","83,039","4,735,497","36.86"
"ONGC","EQ","27-Sep-2022","123.45","124.35","127.90","123.85","124.50","124.45","125.11","14,465,123","1,809,742,198.30","92,206","4,875,341","33.70"
"ONGC","EQ","28-Sep-2022","124.45","123.95","123.95","121.50","122.65","122.55","122.23","15,267,018","1,866,076,499.25","78,021","7,297,821","47.80"
"ONGC","EQ","29-Sep-2022","122.55","123.50","128.20","123.50","126.80","126.65","126.17","20,597,761","2,598,793,896.60","100,118","8,249,539","40.05"
"ONGC","EQ","30-Sep-2022","126.65","125.50","132.40","125.50","126.75","126.80","129.47","33,530,494","4,341,196,794.25","123,852","13,183,172","39.32"
"ONGC","BL","03-Oct-2022","136.50","126.80","126.80","126.80","126.80","126.80","126.80","3,146,729","399,005,237.20","1","-","-"
