"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"ZOMATO","EQ","16-Sep-2022","64.60","64.40","65.00","61.10","64.85","63.20","63.11","196,537,446","12,403,376,466.65","162,862","123,253,689","62.71"
"ZOMATO","EQ","19-Sep-2022","63.20","64.20","65.45","63.45","63.85","63.95","64.26","70,453,100","4,527,108,904.45","132,160","20,172,033","28.63"
"ZOMATO","EQ","20-Sep-2022","63.95","64.90","65.70","62.40","62.70","62.85","64.37","77,904,810","5,014,692,471.15","115,125","24,742,276","31.76"
"ZOMATO","EQ","21-Sep-2022","62.85","63.30","63.95","62.40","63.30","63.45","63.31","59,131,994","3,743,896,626.30","99,207","16,871,390","28.53"
"ZOMATO","EQ","22-Sep-2022","63.45","62.90","63.75","62.60","63.20","63.30","63.38","34,716,572","2,200,188,454.70","61,078","10,841,756","31.23"
"ZOMATO","EQ","23-Sep-2022","63.30","63.00","63.35","60.40","60.80","60.80","61.63","56,730,282","3,496,184,338.45","100,312","19,103,803","33.67"
"ZOMATO","EQ","26-Sep-2022","60.80","60.00","60.65","57.40","57.60","57.80","58.44","65,832,873","3,847,431,347.95","146,599","20,750,673","31.52"
"ZOMATO","EQ","27-Sep-2022","57.80","58.15","59.75","56.95","58.65","58.85","58.28","79,641,870","4,641,615,774.20","116,779","22,746,986","28.56"
"ZOMATO","EQ","28-Sep-2022","58.85","57.80","59.25","57.50","58.20","58.05","58.35","64,334,024","3,753,902,039.30","90,372","23,890,022","37.13"
"ZOMATO","EQ","29-Sep-2022","58.05","59.20","62.00","58.90","61.80","61.20","60.07","76,969,699","4,623,262,690.85","128,571","24,005,553","31.19"
"ZOMATO","EQ","30-Sep-2022","61.20","61.50","62.85","59.75","62.25","62.35","61.33","71,494,895","4,385,136,250.85","125,827","17,708,570","24.77"
"ZOMATO","BL","03-Oct-2022","53.65","62.35","62.35","62.35","62.35","62.35","62.35","2,761,681","172,190,810.35","1","-","-"
"ZOMATO","EQ","03-Oct-2022","62.35","62.00","63.10","61.20","61.75","61.90","62.14","44,528,871","2,766,984,445.15","81,812","10,039,797","22.55"
"ZOMATO","EQ","04-Oct-2022","61.90","63.10","64.45","63.00","63.90","64.05","63.87","47,077,008","3,006,966,850.55","92,827","15,254,052","32.40"
"ZOMATO","EQ","06-Oct-2022","64.05","64.40","66.15","64.25","65.35","65.55","65.46","59,866,072","3,918,585,014.15","133,986","18,711,406","31.26"
"ZOMATO","EQ","07-Oct-2022","65.55","65.15","70.20","64.60","69.30","69.55","68.00","170,879,536","11,619,842,011.95","231,553","38,637,413","22.61"
